soluitons sizes values are:
soluitons matrix for relaxed dubins size is:
34
Dubins markers matrix for relaxed dubins size is:
396
soluitons matrix for full dubins size is:
61
Dubins markers matrix for full dubins size is:
720


soluitons matrix for relaxed dubins is:
1	1.73552	2.47381	3.20168	4.17001	5.13729	6.07489	7.01233	7.95306	8.83896	9.67021	10.5102	11.366	12.0936	12.8063	13.6103	14.3201	14.9335	15.4692	15.9806	16.3202	16.4463	16.2607	15.6287	15.1282	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1	1.661	2.32003	2.73279	2.91511	3.09947	3.40816	3.71926	4.02505	4.44775	4.98491	5.49143	5.98365	6.60894	7.28316	7.85735	8.47711	9.25608	10.0758	10.9231	11.7569	12.7378	13.4445	14.005	14.5258	-999	-999	-999	-999	-999	-999	-999	-999	-999	
0.785398	0.678777	0.778697	0.253024	0.119175	0.257503	0.378619	0.262216	0.36636	0.524016	0.623397	0.46185	0.582104	0.837736	0.677506	0.562892	0.872584	0.906519	1.07733	0.978089	1.39001	1.49585	2.15955	2.67265	1.99977	-999	-999	-999	-999	-999	-999	-999	-999	-999	
0	0.0989365	0.197942	0.282589	0.381197	0.479744	0.578515	0.677343	0.776305	0.874565	0.973576	1.07177	1.17055	1.26675	1.36497	1.46382	1.55843	1.65758	1.75562	1.85463	1.9453	2.04424	2.11867	2.20408	2.27769	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1	1.65673	2.31461	3.06069	3.82133	4.60339	5.50648	6.41421	7.16221	8.00474	8.84262	9.68591	10.6173	11.5066	12.396	13.302	14.1565	14.8293	15.0703	15.137	15.1852	15.2077	15.02	14.8261	15.1077	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1	1.73781	2.47388	3.11569	3.74751	4.29293	4.69784	4.87615	5.1195	5.62944	6.14344	6.61581	6.94735	7.32575	7.73498	8.12591	8.62208	9.25963	9.98137	10.9665	11.9471	12.9361	13.6291	14.3305	15.018	-999	-999	-999	-999	-999	-999	-999	-999	-999	
0.785398	0.901543	0.781326	0.639492	0.746801	0.471182	0.3718	0.0161225	0.612943	0.475602	0.624909	0.396288	0.28766	0.516981	0.345434	0.469271	0.582932	0.934025	1.56294	1.44355	1.5997	1.4965	2.17402	1.50704	0.857048	-999	-999	-999	-999	-999	-999	-999	-999	-999	
0	0.0988303	0.197612	0.29611	0.395039	0.490689	0.5897	0.682697	0.762536	0.861097	0.959486	1.05635	1.15527	1.25212	1.35015	1.44889	1.54775	1.64092	1.71828	1.81707	1.91535	2.01432	2.08751	2.16165	2.23726	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1	1.65912	2.34629	3.16542	4.05181	4.88341	5.70062	6.49342	7.11961	7.70886	8.40275	9.11949	9.83971	10.6411	11.5133	12.4511	13.4249	14.3961	15.3408	16.2312	16.8526	17.083	16.9279	16.4772	15.8651	15.2677	-999	-999	-999	-999	-999	-999	-999	-999	
1	1.73655	2.41319	2.95796	3.39427	3.87595	4.43377	5.01105	5.72703	6.51811	7.21005	7.88963	8.56267	9.13744	9.57901	9.87224	10.0403	10.2142	10.5033	10.9158	11.5061	12.2889	13.2022	14.0307	14.4409	14.8479	-999	-999	-999	-999	-999	-999	-999	-999	
0.785398	0.896248	0.6591	0.514682	0.400153	0.649834	0.54806	0.71069	0.9937	0.867478	0.70051	0.817076	0.686003	0.558348	0.378982	0.22711	0.114787	0.239556	0.354323	0.513372	1.00616	1.56288	1.91522	2.22276	2.8796	2.20736	-999	-999	-999	-999	-999	-999	-999	-999	
0	0.0988905	0.195556	0.294016	0.392865	0.489218	0.588205	0.686384	0.781819	0.880527	0.978634	1.07746	1.1761	1.27479	1.37268	1.47103	1.56991	1.66863	1.76748	1.86572	1.9523	2.03496	2.12808	2.22276	2.29779	2.37146	-999	-999	-999	-999	-999	-999	-999	-999	
1	1.59234	2.14762	2.81567	3.61396	4.43491	5.26441	6.12922	6.93887	7.76169	8.62485	9.49095	10.3642	11.0168	11.5286	12.039	12.6412	13.3265	14.0157	14.726	15.1544	15.2335	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1	1.75848	2.57598	3.27957	3.84463	4.39251	4.90453	5.38527	5.95305	6.46842	6.95023	7.42006	7.88233	8.49575	9.33984	10.1854	10.9698	11.6809	12.3897	13.0537	13.6756	14.5797	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
0.785398	1.03015	0.918124	0.70449	0.527445	0.649539	0.45649	0.558218	0.664926	0.454211	0.564021	0.430039	0.543694	0.965279	1.08616	0.969161	0.862937	0.744929	0.853881	0.649607	1.28537	1.68176	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
0	0.0964773	0.195355	0.292561	0.390493	0.489252	0.586884	0.685872	0.784808	0.882077	0.980979	1.07959	1.17844	1.26867	1.36745	1.46627	1.56521	1.66402	1.76293	1.86033	1.93714	2.02849	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1	1.75034	2.60001	3.49027	4.3805	5.29999	6.21969	7.13365	7.99891	8.86376	9.70572	10.3998	11.0132	11.6623	12.2977	12.8354	13.2321	13.5962	13.9146	14.204	14.4932	14.8766	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1	1.62673	2.04869	2.44178	2.84111	3.20647	3.57053	3.94252	4.42005	4.89909	5.39954	6.05507	6.83597	7.58312	8.33704	9.16508	10.0554	10.9745	11.8949	12.8379	13.7808	14.5955	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
0.785398	0.606353	0.315522	0.516077	0.327253	0.429191	0.32465	0.44842	0.560162	0.451501	0.621069	0.892634	0.905191	0.805874	0.934995	1.05483	1.24831	1.13913	1.33631	1.20967	1.33679	0.925023	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
